Name,Pop,Ab,Reps,StandardQuota,LowerQuota,UpperQuota,CurrentReps
Alabama,4447100,AL,0,0,0,0,7
Alaska,626932,AK,0,0,0,0,1
Arizona,5130632,AZ,0,0,0,0,8
Arkansas,2673400,AR,0,0,0,0,4
California,33871648,CA,0,0,0,0,53
Colorado,4301261,CO,0,0,0,0,7
Connecticut,3405565,CT,0,0,0,0,5
Delaware,783600,DE,0,0,0,0,1
Florida,15982378,FL,0,0,0,0,25
Georgia,8186453,GA,0,0,0,0,13
Hawaii,1211537,HI,0,0,0,0,2
Idaho,1293953,ID,0,0,0,0,2
Illinois,12419293,IL,0,0,0,0,19
Indiana,6080485,IN,0,0,0,0,9
Iowa,2926324,IA,0,0,0,0,5
Kansas,2688418,KS,0,0,0,0,4
Kentucky,4041769,KY,0,0,0,0,6
Louisiana,4468976,LA,0,0,0,0,7
Maine,1274923,ME,0,0,0,0,2
Maryland,5296486,MD,0,0,0,0,8
Massachusetts,6349097,MA,0,0,0,0,10
Michigan,9938444,MI,0,0,0,0,15
Minnesota,4919479,MN,0,0,0,0,8
Mississippi,2844658,MS,0,0,0,0,4
Missouri,5595211,MO,0,0,0,0,9
Montana,902195,MT,0,0,0,0,1
Nebraska,1711263,NE,0,0,0,0,3
Nevada,1998257,NV,0,0,0,0,3
New Hampshire,1235786,NH,0,0,0,0,2
New Jersey,8414350,NJ,0,0,0,0,13
New Mexico,1819046,NM,0,0,0,0,3
New York,18976457,NY,0,0,0,0,29
North Carolina,8049313,NC,0,0,0,0,13
North Dakota,642200,ND,0,0,0,0,1
Ohio,11353140,OH,0,0,0,0,18
Oklahoma,3450654,OK,0,0,0,0,5
Oregon,3421399,OR,0,0,0,0,5
Pennsylvania,12281054,PA,0,0,0,0,19
Rhode Island,1048319,RI,0,0,0,0,2
South Carolina,4012012,SC,0,0,0,0,6
South Dakota,754844,SD,0,0,0,0,1
Tennessee,5689283,TN,0,0,0,0,9
Texas,20851820,TX,0,0,0,0,32
Utah,2233169,UT,0,0,0,0,3
Vermont,608827,VT,0,0,0,0,1
Virginia,7078515,VA,0,0,0,0,11
Washington,5894121,WA,0,0,0,0,9
West Virginia,1808344,WV,0,0,0,0,3
Wisconsin,5363675,WI,0,0,0,0,8
Wyoming,493782,WY,0,0,0,0,1
